author,comment,changed files,lines added,lines deleted,msg_len,buggy
479,46,1,3.0,1.0,53,0
428,84,1,2.0,1.0,58,0
605,84,1,1.0,0.0,56,0
291,84,3,26.0,1.0,42,0
64,1,14,216.0,0.0,51,1
327,84,2,2.0,2.0,62,0
26,84,2,18.0,4.0,57,0
470,84,2,43.0,0.0,72,0
470,97,1,4.0,1.0,56,0
470,61,4,114.0,3.0,68,0
605,30,5,7532.0,695.0,33,0
605,97,2,17.0,0.0,65,0
128,84,2,30.0,1.0,60,0
189,97,20,212.0,21.0,42,0
221,97,1,2.0,2.0,55,0
513,84,3,294.0,224.0,61,0
533,81,1,3.0,1.0,59,0
510,84,2,2.0,2.0,43,0
428,84,1,2.0,1.0,60,0
328,84,4,30.0,0.0,59,0
538,84,1,3.0,1.0,63,0
392,84,1,17.0,14.0,42,0
65,84,1,3.0,0.0,62,0
605,96,1,4.0,4.0,41,0
328,84,1,1.0,1.0,34,0
513,0,3,14.0,2.0,62,0
605,84,2,12.0,12.0,43,0
347,84,1,1.0,1.0,51,0
291,84,2,2.0,2.0,38,0
428,84,1,1.0,1.0,60,0
343,0,126,2558.0,1059.0,46,0
217,84,7,66.0,16.0,45,0
605,84,1,8.0,5.0,38,0
510,84,1,1.0,0.0,50,0
228,84,2,10.0,2.0,81,0
1,84,5,153.0,5.0,53,0
249,97,2,4.0,1.0,79,0
428,84,1,1.0,0.0,55,0
464,96,1,4.0,0.0,69,0
475,97,2,24.0,1.0,54,0
26,84,2,9.0,1.0,41,0
533,84,1,1.0,1.0,60,0
328,84,1,39.0,5.0,48,0
479,84,1,4.0,1.0,51,0
387,84,1,1.0,1.0,53,0
267,84,1,1.0,1.0,52,0
107,84,1,35.0,2.0,48,0
428,84,1,2.0,2.0,55,0
217,84,1,1.0,1.0,59,0
328,84,1,2.0,0.0,40,0
344,0,0,0.0,0.0,77,0
387,27,2,63.0,0.0,56,0
217,84,1,7.0,14.0,46,0
387,84,2,14.0,1.0,48,1
217,84,2,9.0,1.0,48,0
217,84,6,34.0,26.0,68,0
217,84,3,33.0,25.0,60,0
387,84,1,1.0,1.0,61,0
510,84,1,3.0,0.0,66,0
217,84,1,1.0,1.0,60,0
217,84,1,3.0,2.0,70,0
432,84,1,1.0,1.0,63,0
387,84,1,11.0,2.0,60,1
1,84,2,41.0,2.0,48,0
328,84,1,4.0,0.0,31,0
266,84,1,2.0,2.0,56,0
416,84,1,1.0,1.0,31,0
1,84,1,1.0,1.0,54,0
83,84,2,19.0,6.0,63,0
83,84,2,9.0,1.0,65,0
86,84,1,3.0,2.0,59,0
387,96,2,4.0,2.0,66,0
358,84,1,2.0,1.0,57,0
438,84,1,1.0,1.0,76,0
533,84,2,10.0,4.0,46,0
538,84,1,1.0,1.0,64,1
118,84,1,1.0,1.0,42,0
376,84,1,4.0,3.0,72,0
579,84,1,16.0,18.0,65,0
416,84,1,1.0,1.0,41,0
579,84,1,4.0,5.0,58,0
170,61,3,3.0,3.0,51,0
228,84,3,41.0,2.0,46,0
438,21,1,22.0,0.0,54,0
118,84,2,51.0,1.0,52,1
327,84,1,1.0,1.0,52,0
604,97,4,694.0,748.0,45,0
268,84,1,3.0,3.0,74,0
375,84,1,6.0,6.0,41,0
399,84,1,10.0,12.0,69,0
491,84,1,6.0,0.0,66,1
354,84,1,6.0,1.0,48,0
328,84,1,5.0,1.0,30,0
170,84,1,1.0,0.0,43,0
563,30,3,13.0,0.0,86,0
328,84,2,74.0,2.0,55,0
328,84,2,4.0,2.0,47,0
428,84,1,4.0,2.0,66,0
287,0,1,11.0,0.0,28,0
399,84,1,1.0,0.0,62,0
328,84,1,2.0,0.0,28,0
218,0,1,8.0,6.0,26,0
170,84,1,3.0,0.0,56,0
387,84,3,37.0,35.0,31,0
432,84,3,79.0,32.0,53,0
387,84,1,12.0,11.0,63,0
26,84,1,2.0,3.0,54,0
538,84,3,72.0,3.0,68,1
604,84,3,239.0,226.0,46,1
328,84,2,69.0,1.0,25,0
328,84,1,1.0,1.0,31,0
33,84,1,2.0,1.0,42,0
232,84,1,26.0,0.0,62,0
428,84,1,1.0,0.0,38,0
441,84,1,6.0,2.0,41,0
328,84,1,2.0,1.0,37,0
97,84,1,1.0,1.0,91,0
343,0,70,734.0,268.0,46,0
347,84,1,1.0,1.0,47,0
327,84,1,1.0,0.0,54,0
578,21,1,17.0,17.0,56,0
578,21,1,94.0,94.0,56,0
578,23,3,60.0,32.0,60,0
51,84,2,66.0,1.0,50,0
538,84,1,4.0,11.0,44,0
327,84,2,10.0,0.0,54,0
241,84,1,1.0,8.0,36,0
380,84,1,2.0,2.0,33,0
354,96,1,2.0,2.0,45,0
228,84,3,83.0,5.0,49,0
538,84,3,33.0,1.0,72,0
275,84,1,3.0,3.0,43,0
373,90,2,7.0,5.0,63,0
275,84,1,1.0,1.0,60,0
291,84,2,44.0,2.0,54,0
249,1,1,2.0,0.0,59,0
416,84,1,2.0,3.0,45,0
416,84,2,31.0,0.0,39,0
266,84,1,2.0,0.0,78,0
436,84,1,3.0,1.0,52,0
266,84,1,10.0,2.0,60,0
533,84,1,2.0,6.0,72,0
65,84,1,1.0,1.0,59,0
65,84,1,1.0,0.0,65,0
65,84,2,30.0,4.0,63,0
578,21,1,4.0,4.0,59,0
6,84,1,3.0,2.0,63,0
357,84,1,1.0,0.0,46,0
26,84,4,11.0,18.0,65,0
538,84,2,24.0,1.0,56,0
538,84,1,1.0,1.0,49,0
448,84,1,2.0,0.0,43,0
51,84,3,76.0,4.0,50,0
65,84,1,1.0,1.0,59,0
65,84,1,30.0,5.0,63,0
65,84,1,2.0,1.0,65,0
328,84,1,2.0,2.0,35,0
95,84,1,1.0,2.0,58,0
588,1,1,1.0,0.0,32,0
588,84,1,2.0,2.0,59,0
471,84,3,4.0,4.0,49,0
387,84,3,30.0,30.0,31,1
432,84,3,79.0,32.0,53,0
387,84,1,12.0,11.0,63,0
26,84,1,2.0,2.0,60,0
6,84,1,5.0,0.0,55,0
232,84,1,3.0,0.0,47,0
26,84,1,1.0,1.0,37,0
491,84,1,4.0,2.0,74,0
275,84,1,12.0,1.0,39,0
428,84,2,6.0,2.0,48,0
470,84,1,1.0,1.0,43,0
432,84,2,1.0,10.0,53,0
328,84,1,2.0,2.0,35,0
388,84,3,101.0,1.0,51,0
232,84,2,27.0,1.0,60,0
232,0,1,12.0,6.0,77,0
510,0,1,1.0,9.0,48,0
510,84,1,23.0,17.0,49,0
65,84,1,2.0,1.0,68,0
95,84,1,1.0,0.0,52,0
65,84,1,2.0,2.0,56,0
232,84,1,1.0,0.0,57,0
510,84,1,1.0,1.0,43,0
344,71,0,0.0,0.0,51,0
513,74,2,2.0,1.0,31,0
538,84,2,8.0,0.0,46,0
588,1,1,1.0,0.0,32,0
222,84,1,2.0,2.0,46,0
328,84,1,7.0,2.0,43,0
432,84,1,1.0,0.0,67,0
591,84,1,6.0,2.0,64,0
170,84,1,2.0,1.0,73,0
510,30,2,2.0,2.0,50,0
510,97,1,1.0,1.0,45,0
89,84,1,4.0,8.0,55,0
375,84,1,1.0,1.0,46,0
375,84,2,3.0,0.0,45,0
471,84,3,3.0,3.0,49,0
189,84,1,1.0,1.0,40,0
170,84,1,1.0,0.0,60,0
328,84,1,1.0,1.0,61,0
113,84,2,61.0,1.0,43,0
170,84,1,1.0,1.0,59,0
439,84,2,5.0,4.0,47,0
439,84,2,77.0,0.0,53,0
275,84,2,12.0,0.0,51,0
189,84,1,1.0,1.0,40,0
439,84,2,77.0,0.0,53,0
113,84,2,61.0,1.0,43,0
170,84,1,1.0,0.0,60,0
170,84,1,1.0,1.0,59,0
343,0,169,1826.0,836.0,46,0
432,84,3,8.0,4.0,60,0
491,84,1,1.0,1.0,65,0
387,27,3,32.0,0.0,39,0
48,84,1,2.0,2.0,43,0
538,84,1,3.0,0.0,61,0
249,1,1,2.0,0.0,59,0
538,84,3,27.0,3.0,59,0
533,84,1,8.0,0.0,62,0
354,84,2,9.0,6.0,55,1
109,84,1,2.0,2.0,39,0
1,61,2,56.0,2.0,58,0
217,0,2,31.0,131.0,43,0
48,84,1,2.0,2.0,43,0
392,84,1,17.0,10.0,46,1
328,84,1,40.0,0.0,36,1
291,84,5,86.0,5.0,47,0
533,84,1,8.0,0.0,62,0
170,96,1,1.0,1.0,62,0
328,84,3,49.0,3.0,37,0
533,84,1,1.0,1.0,63,0
538,84,3,27.0,3.0,59,0
343,0,96,4144.0,2930.0,46,0
387,27,3,32.0,0.0,39,0
432,84,3,8.0,4.0,60,0
491,84,1,1.0,1.0,65,0
538,84,1,3.0,0.0,61,0
354,84,2,9.0,6.0,55,1
344,0,0,0.0,0.0,32,0
537,84,1,1.0,1.0,52,0
388,84,1,23.0,11.0,68,0
388,84,1,2.0,1.0,82,0
388,84,1,5.0,1.0,75,0
388,97,1,3.0,0.0,73,1
592,97,2,2.0,5.0,66,0
525,84,4,12.0,3.0,37,0
51,61,1,2.0,2.0,53,0
51,84,1,1.0,0.0,51,0
40,84,1,1.0,0.0,52,0
186,97,3,28.0,0.0,62,1
270,96,1,4.0,0.0,65,0
538,84,1,14.0,12.0,41,0
461,84,2,25.0,0.0,56,0
476,97,1,13.0,1.0,52,0
328,84,1,1.0,1.0,43,0
461,84,1,2.0,5.0,56,0
461,84,2,17.0,4.0,57,0
461,84,2,5.0,1.0,57,0
328,84,1,16.0,0.0,41,0
510,84,2,9.0,3.0,43,0
509,84,2,22.0,1.0,54,0
440,97,1,5.0,1.0,71,0
597,84,2,13.0,6.0,42,0
89,84,1,1.0,1.0,67,0
416,84,2,2.0,2.0,58,0
89,84,2,7.0,1.0,72,0
358,0,2,19.0,10.0,48,1
358,84,1,1.0,1.0,42,0
358,84,1,1.0,1.0,64,0
357,84,1,2.0,0.0,56,0
328,84,1,1.0,0.0,41,0
591,84,2,38.0,2.0,64,0
95,84,1,1.0,2.0,58,0
588,1,1,1.0,0.0,32,0
588,84,1,2.0,2.0,59,0
375,84,1,2.0,2.0,43,0
471,84,3,4.0,4.0,49,0
344,71,0,0.0,0.0,51,0
49,76,4,13.0,8.0,34,0
49,76,3,10.0,3.0,56,0
475,71,2,2.0,3.0,20,0
49,71,1,1.0,0.0,27,0
222,84,1,3.0,3.0,46,0
228,96,3,12.0,2.0,51,0
6,84,2,22.0,6.0,40,0
195,97,1,51.0,27.0,73,0
537,84,1,1.0,1.0,52,0
276,84,2,7.0,1.0,38,0
328,84,1,14.0,7.0,61,0
170,96,1,1.0,0.0,57,0
538,84,3,83.0,2.0,68,0
354,84,1,2.0,2.0,53,0
432,84,1,3.0,1.0,64,0
336,84,2,7.0,1.0,49,0
195,84,1,9.0,6.0,77,0
170,84,2,7.0,0.0,55,0
44,1,11,37162.0,0.0,45,0
44,0,6,131.0,0.0,53,0
6,84,2,22.0,6.0,40,0
183,84,1,3.0,0.0,56,0
276,84,2,7.0,1.0,38,0
266,84,2,80.0,1.0,69,0
392,84,1,1.0,1.0,55,0
217,84,2,6.0,8.0,42,0
354,84,2,4.0,0.0,47,0
399,84,5,44.0,61.0,67,0
438,84,2,2.0,2.0,79,0
170,84,1,1.0,1.0,35,0
250,84,2,42.0,1.0,55,0
538,96,1,1.0,1.0,56,0
170,61,1,2.0,1.0,46,0
336,84,2,17.0,1.0,49,0
328,84,1,1.0,0.0,31,0
538,84,1,8.0,0.0,46,0
461,84,1,1.0,1.0,42,0
461,84,1,1.0,0.0,52,0
354,84,1,2.0,2.0,52,0
438,84,2,12.0,11.0,61,0
438,0,2,211.0,14.0,70,1
448,84,1,1.0,1.0,54,0
170,84,1,16.0,15.0,24,0
328,84,1,3.0,1.0,52,0
26,84,1,1.0,0.0,62,0
573,84,1,3.0,2.0,61,0
399,84,1,1.0,0.0,68,0
26,84,2,49.0,49.0,51,0
533,84,2,10.0,1.0,66,1
439,84,1,1.0,1.0,42,0
7,84,4,32.0,29.0,69,0
271,97,2,87.0,2.0,131,0
356,84,2,23.0,1.0,65,0
461,103,1,61.0,0.0,41,0
195,84,1,10.0,7.0,77,0
510,84,6,17.0,11.0,49,0
221,46,1,1.0,1.0,39,0
399,84,5,56.0,60.0,67,0
357,97,19,585.0,52.0,53,0
448,84,1,14.0,0.0,37,0
276,84,10,236.0,86.0,59,0
275,84,2,8.0,1.0,45,0
546,0,3,2.0,12.0,68,0
486,97,1,7.0,7.0,46,0
439,84,1,2.0,1.0,51,0
327,84,1,1.0,0.0,65,0
491,89,1,5.0,4.0,47,0
118,72,1,10.0,6.0,55,0
535,84,1,2.0,1.0,53,0
99,97,16,2201.0,0.0,45,0
597,84,1,2.0,2.0,38,0
343,0,136,2177.0,1467.0,46,0
432,61,1,4.0,1.0,64,0
432,84,1,3.0,1.0,64,0
470,88,1,6.0,4.0,46,0
304,84,1,2.0,0.0,53,0
538,84,1,2.0,2.0,24,0
538,84,1,7.0,1.0,69,0
556,1,5,124.0,0.0,48,0
438,84,1,3.0,5.0,57,0
357,84,1,3.0,0.0,54,0
513,108,4,89.0,2.0,48,0
579,84,1,45.0,15.0,64,0
579,84,1,3.0,2.0,51,0
579,84,1,3.0,2.0,47,1
26,84,1,1.0,1.0,54,0
308,84,1,3.0,2.0,99,0
392,96,1,2.0,1.0,50,0
393,84,1,1.0,0.0,67,0
491,84,1,5.0,4.0,60,0
304,84,1,1.0,1.0,48,0
304,84,1,244.0,176.0,37,0
217,84,3,10.0,4.0,51,0
538,97,3,19.0,3.0,46,0
44,84,1,12.0,3.0,52,0
44,84,1,11.0,6.0,44,0
336,84,2,31.0,0.0,51,0
438,84,1,16.0,9.0,67,1
438,84,1,1.0,1.0,67,0
44,0,6,131.0,0.0,53,0
221,84,2,77.0,2.0,39,1
26,84,0,0.0,0.0,54,0
546,84,2,2.0,1.0,63,0
538,84,1,1.0,0.0,46,0
48,84,1,2.0,2.0,57,1
399,84,2,4.0,4.0,65,0
387,84,1,1.0,1.0,47,0
373,96,1,1.0,1.0,60,0
373,90,2,9.0,3.0,50,0
432,84,4,46.0,2.0,58,0
546,84,1,1.0,1.0,50,1
113,84,3,6.0,5.0,53,0
270,84,1,6.0,2.0,48,0
471,84,3,4.0,4.0,49,0
343,0,69,617.0,534.0,46,0
344,79,0,0.0,0.0,47,0
49,76,4,13.0,8.0,34,0
49,76,3,10.0,3.0,56,0
475,71,2,2.0,3.0,20,0
49,71,1,1.0,0.0,27,0
222,84,1,3.0,3.0,46,0
228,96,3,12.0,2.0,51,0
537,84,1,1.0,1.0,52,0
195,97,1,51.0,27.0,73,0
276,84,2,7.0,1.0,38,0
